itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
225746,Pheresis Catheter Discontinued,Pheresis Catheter Discontinued,chartevents,Access Lines - Invasive,,Text,,
225369,Pheresis Catheter Dressing Change,Pheresis Catheter Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227362,Pheresis Catheter Dressing Occlusive,Pheresis Catheter Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225782,Pheresis Catheter Dressing Type,Pheresis Catheter Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225370,Pheresis Catheter Insertion Date,Pheresis Catheter Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225731,Pheresis Catheter Line Tip Cultured,Pheresis Catheter Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226122,Pheresis Catheter placed in outside facility,Pheresis Catheter placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227758,Pheresis Catheter Placement Confirmed by X-ray,Pheresis Catheter Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225371,Pheresis Catheter Site Appear,Pheresis Catheter Site Appear,chartevents,Access Lines - Invasive,,Text,,
225372,Pheresis Catheter Tubing Change,Pheresis Catheter Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227129,Pheresis Catheter Type,Pheresis Catheter Type,chartevents,Access Lines - Invasive,,Text,,
229537,Pheresis Catheter Type,Pheresis Catheter Type,chartevents,Access Lines - Invasive,,Text,,
229538,PICC - Heparin Dependent,PICC - Heparin Dependent,chartevents,Access Lines - Invasive,,Checkbox,,
229880,PICC Biopatch,PICC Biopatch,chartevents,Access Lines - Invasive,,Checkbox,,
224264,PICC Line,PICC Line,procedureevents,Access Lines - Invasive,None,Processes,,
224183,PICC Line Cap Change,PICC Line Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
224185,PICC Line Change over Wire Date,PICC Line Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225747,PICC Line Discontinued,PICC Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
224186,PICC Line Dressing Change,PICC Line Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227358,PICC Line Dressing Occlusive,PICC Line Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
224184,PICC Line Insertion Date,PICC Line Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
226115,PICC Line placed in outside facility,PICC Line placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227759,PICC Line Placement Confirmed by X-ray,PICC Line Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
229476,PICC Line Power PICC,PICC Line Power PICC,chartevents,Access Lines - Invasive,,Checkbox,,
224188,PICC Line Site Appear,PICC Line Site Appear,chartevents,Access Lines - Invasive,,Text,,
225732,PICC Line Tip Cultured,PICC Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
224187,PICC Line Tubing Change,PICC Line Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
224273,Presep Catheter,Presep Catheter,procedureevents,Access Lines - Invasive,None,Processes,,
225383,Presep Catheter Cap Change,Presep Catheter Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225384,Presep Catheter Change over Wire Date,Presep Catheter Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225749,Presep Catheter Discontinued,Presep Catheter Discontinued,chartevents,Access Lines - Invasive,,Text,,
225385,Presep Catheter Dressing Change,Presep Catheter Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227419,Presep Catheter Dressing Occlusive,Presep Catheter Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225785,Presep Catheter Dressing Type,Presep Catheter Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225386,Presep Catheter Insertion Date,Presep Catheter Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225734,Presep Catheter Line Tip Cultured,Presep Catheter Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226116,Presep Catheter placed in outside facility,Presep Catheter placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227760,Presep Catheter Placement Confirmed by X-ray,Presep Catheter Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225387,Presep Catheter Site Appear,Presep Catheter Site Appear,chartevents,Access Lines - Invasive,,Text,,
225390,Presep Catheter Tubing Change,Presep Catheter Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225388,Presep Catheter Waveform Appear,Presep Catheter Waveform Appear,chartevents,Access Lines - Invasive,,Text,,
225389,Presep Catheter Zero/Calibrate,Presep Catheter Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
229522,SEPS (Subdural Evacuating Port System),SEPS,procedureevents,Access Lines - Invasive,None,Processes,,
229525,Sheath (Arterial),Sheath (Arterial),procedureevents,Access Lines - Invasive,None,Processes,,
225789,Sheath (Venous),Sheath (Venous),procedureevents,Access Lines - Invasive,None,Processes,,
225762,Sheath Cap Change,Sheath Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225763,Sheath Change over Wire Date,Sheath Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225765,Sheath Dressing Change,Sheath Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225786,Sheath Dressing Type,Sheath Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225761,Sheath Insertion,Sheath Insertion,procedureevents,Access Lines - Invasive,None,Processes,,
225766,Sheath Insertion Date,Sheath Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225764,Sheath Line Discontinued,Sheath Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
227356,Sheath Line Dressing Occlusive,Sheath Line Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225768,Sheath Line Tip Cultured,Sheath Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226117,Sheath placed in outside facility,Sheath placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227761,Sheath Placement Confirmed by X-ray,Sheath Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225767,Sheath Site Appear,Sheath Site Appear,chartevents,Access Lines - Invasive,,Text,,
225772,Sheath Size,Sheath Size,chartevents,Access Lines - Invasive,,Text,,
225769,Sheath Tubing Change,Sheath Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
229540,Sheath Type,Sheath Type,chartevents,Access Lines - Invasive,,Text,,
225770,Sheath Waveform Appear,Sheath Waveform Appear,chartevents,Access Lines - Invasive,,Text,,
225771,Sheath Zero/Calibrate,Sheath Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
229516,Single Lumen,Single Lumen,procedureevents,Access Lines - Invasive,None,Processes,,
229523,Subdural Drain,Subdural Drain,procedureevents,Access Lines - Invasive,None,Processes,,
228203,Tandem Heart Access Line Cannula Site,Tandem Heart Access Line Cannula Site,chartevents,Access Lines - Invasive,,Text,,
228204,Tandem Heart Access Line Catheter Length,Tandem Heart Access Line Catheter Length,chartevents,Access Lines - Invasive,cm,Numeric,,
228206,Tandem Heart Access Line Discontinued,Tandem Heart Access Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
228207,Tandem Heart Access Line Dressing Change,Tandem Heart Access Line Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
228208,Tandem Heart Access Line Dressing Occlusive,Tandem Heart Access Line Dressing Occlusive_201612,chartevents,Access Lines - Invasive,,Checkbox,,
228209,Tandem Heart Access Line Insertion Date,Tandem Heart Access Line Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
228210,Tandem Heart Access Line Position,Tandem Heart Access Line Position,chartevents,Access Lines - Invasive,,Text,,
228211,Tandem Heart Access Line Postion Confirmed,Tandem Heart Access Line Position Confirmed,chartevents,Access Lines - Invasive,,Text,,
228212,Tandem Heart Access Line Pump Housing Checked,Tandem Heart Access Line Pump Housing Checked,chartevents,Access Lines - Invasive,,Checkbox,,
228213,Tandem Heart Access Line Repositioned,Tandem Heart Access Line Repositioned,chartevents,Access Lines - Invasive,,Checkbox,,
228214,Tandem Heart Access Line Site Appear,Tandem Heart Access Line Site Appear,chartevents,Access Lines - Invasive,,Text,,
228215,Tandem Heart Access Line Tubing Change,Tandem Heart Access Line Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
228216,Tandem Heart Access Line Type,Tandem Heart Access Line Type,chartevents,Access Lines - Invasive,,Text,,
228201,Tandem Heart Inflow Line,Tandem Heart Inflow Line,procedureevents,Access Lines - Invasive,None,Processes,,
228202,Tandem Heart Outflow Line,Tandem Heart Outflow Line,procedureevents,Access Lines - Invasive,None,Processes,,
228217,Tandem Heart Return Cannula Discontinued,Tandem Heart Return Cannula Discontinued,chartevents,Access Lines - Invasive,,Text,,
228218,Tandem Heart Return Cannula Dressing Change,Tandem Heart Return Cannula Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
228219,Tandem Heart Return Cannula Dressing Occlusive,Tandem Heart Return Cannula Dressing Occlusive_201,chartevents,Access Lines - Invasive,,Checkbox,,
228221,Tandem Heart Return Cannula Insertion Date,Tandem Heart Return Cannula Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
228222,Tandem Heart Return Cannula Migration,Tandem Heart Return Cannula Migration,chartevents,Access Lines - Invasive,,Checkbox,,
228223,Tandem Heart Return Cannula Position,Tandem Heart Return Cannula Position,chartevents,Access Lines - Invasive,,Text,,
228224,Tandem Heart Return Cannula Repositioned,Tandem Heart Return Cannula Repositioned,chartevents,Access Lines - Invasive,,Checkbox,,
228225,Tandem Heart Return Cannula Site,Tandem Heart Return Cannula Site,chartevents,Access Lines - Invasive,,Text,,
228226,Tandem Heart Return Cannula Site Appear,Tandem Heart Return Cannula Site Appear,chartevents,Access Lines - Invasive,,Text,,
228227,Tandem Heart Return Cannula Size,Tandem Heart Return Cannula Size,chartevents,Access Lines - Invasive,,Text,,
224268,Trauma line,Trauma line,procedureevents,Access Lines - Invasive,None,Processes,,
225213,Trauma Line Cap Change,Trauma Line Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225214,Trauma Line Change over Wire Date,Trauma Line Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225750,Trauma Line Discontinued,Trauma Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
225216,Trauma Line Dressing Change,Trauma Line Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227353,Trauma Line Dressing Occlusive,Trauma Line Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225787,Trauma Line Dressing Type,Trauma Line Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225317,Trauma Line Insertion Date,Trauma Line Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
226119,Trauma Line placed in outside facility,Trauma Line placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227762,Trauma Line Placement Confirmed by X-ray,Trauma Line Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225217,Trauma Line Site Appear,Trauma Line Site Appear,chartevents,Access Lines - Invasive,,Text,,
225735,Trauma Line Tip Cultured,Trauma Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
225218,Trauma Line Tubing Change,Trauma Line Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225199,Triple Introducer,Triple Introducer,procedureevents,Access Lines - Invasive,None,Processes,,
225391,Triple Introducer Cap Change,Triple Introducer Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225392,Triple Introducer Change over Wire Date,Triple Introducer Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225751,Triple Introducer Discontinued,Triple Introducer Discontinued,chartevents,Access Lines - Invasive,,Text,,
225393,Triple Introducer Dressing Change,Triple Introducer Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227354,Triple Introducer Dressing Occlusive,Triple Introducer Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225788,Triple Introducer Dressing Type,Triple Introducer Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225394,Triple Introducer Insertion Date,Triple Introducer Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225736,Triple Introducer Line Tip Cultured,Triple Introducer Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226120,Triple Introducer placed in outside facility,Triple Introducer placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227763,Triple Introducer Placement Confirmed by X-ray,Triple Introducer Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225395,Triple Introducer Site Appear,Triple Introducer Site Appear,chartevents,Access Lines - Invasive,,Text,,
225396,Triple Introducer Tubing Change,Triple Introducer Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225397,Triple Introducer Waveform Appear,Triple Introducer Waveform Appear,chartevents,Access Lines - Invasive,,Text,,
225398,Triple Introducer Zero/Calibrate,Triple Introducer Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
225327,Tunneled (Hickman) Cap Change,Tunneled (Hickman) Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225328,Tunneled (Hickman) Change over Wire Date,Tunneled (Hickman) Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225329,Tunneled (Hickman) Dressing Change,Tunneled (Hickman) Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227359,Tunneled (Hickman) Dressing Occlusive,Tunneled (Hickman) Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225777,Tunneled (Hickman) Dressing Type,Tunneled (Hickman) Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225330,Tunneled (Hickman) Insertion Date,Tunneled (Hickman) Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225315,Tunneled (Hickman) Line,Tunneled (Hickman) Line,procedureevents,Access Lines - Invasive,None,Processes,,
225741,Tunneled (Hickman) Line Discontinued,Tunneled (Hickman) Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
225726,Tunneled (Hickman) Line Tip Cultured,Tunneled (Hickman) Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226121,Tunneled (Hickman) placed in outside facility,Tunneled (Hickman) placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227764,Tunneled (Hickman) Placement Confirmed by X-ray,Tunneled (Hickman) Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225331,Tunneled (Hickman) Site Appear,Tunneled (Hickman) Site Appear,chartevents,Access Lines - Invasive,,Text,,
225332,Tunneled (Hickman) Tubing Change,Tunneled (Hickman) Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
229531,Tunneled Access Line,Tunneled Access Line,procedureevents,Access Lines - Invasive,None,Processes,,
228008,14 G Infiltration Scale,14 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
228007,14 G Phlebitis Scale,14 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
224566,14 Gauge,14 Gauge,procedureevents,Access Lines - Peripheral,None,Processes,,
229736,14 Gauge Cap Change,14 Gauge Cap Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
229730,14 Gauge Dressing Change,14 Gauge Dressing Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
227365,14 Gauge Dressing Occlusive,14 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
225757,14 Gauge Insertion Date,14 Gauge Insertion Date,datetimeevents,Access Lines - Peripheral,,Date and time,,
226135,14 Gauge placed in outside facility,14 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
228097,14 Gauge placed in the field,14 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
225239,14 Gauge Reason Discontinued,14 Gauge Reason Discontinued,chartevents,Access Lines - Peripheral,,Text,,
225240,14 Gauge Site Appear,14 Gauge Site Appear,chartevents,Access Lines - Peripheral,,Text,,
228010,16 G Infiltration Scale,16 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
228009,16 G Phlebitis Scale,16 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
224276,16 Gauge,16 Gauge,procedureevents,Access Lines - Peripheral,None,Processes,,
229737,16 Gauge Cap Change,16 Gauge Cap Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
229731,16 Gauge Dressing Change,16 Gauge Dressing Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
227366,16 Gauge Dressing Occlusive,16 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
225756,16 Gauge Insertion Date,16 Gauge Insertion Date,datetimeevents,Access Lines - Peripheral,,Date and time,,
226136,16 Gauge placed in outside facility,16 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
228098,16 Gauge placed in the field,16 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
225236,16 Gauge Reason Discontinued,16 Gauge Reason Discontinued,chartevents,Access Lines - Peripheral,,Text,,
225237,16 Gauge Site Appear,16 Gauge Site Appear,chartevents,Access Lines - Peripheral,,Text,,
228012,18 G Infiltration Scale,18 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
228011,18 G Phlebitis Scale,18 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
224277,18 Gauge,18 Gauge,procedureevents,Access Lines - Peripheral,None,Processes,,
229729,18 Gauge Cap Change,18 Gauge Cap Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
229728,18 Gauge Dressing Change,18 Gauge Dressing Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
227367,18 Gauge Dressing Occlusive,18 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
225755,18 Gauge Insertion Date,18 Gauge Insertion Date,datetimeevents,Access Lines - Peripheral,,Date and time,,
226137,18 Gauge placed in outside facility,18 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
228099,18 Gauge placed in the field,18 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
225233,18 Gauge Reason Discontinued,18 Gauge Reason Discontinued,chartevents,Access Lines - Peripheral,,Text,,
225234,18 Gauge Site Appear,18 Gauge Site Appear,chartevents,Access Lines - Peripheral,,Text,,
228014,20 G Infiltration Scale,20 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
228013,20 G Phlebitis Scale,20 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
224275,20 Gauge,20 Gauge,procedureevents,Access Lines - Peripheral,None,Processes,,
229738,20 Gauge Cap Change,20 Gauge Cap Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
229732,20 Gauge Dressing Change,20 Gauge Dressing Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
227368,20 Gauge Dressing Occlusive,20 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
225754,20 Gauge Insertion Date,20 Gauge Insertion Date,datetimeevents,Access Lines - Peripheral,,Date and time,,
226138,20 Gauge placed in outside facility,20 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
228100,20 Gauge placed in the field,20 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
225230,20 Gauge Reason Discontinued,20 Gauge Reason Discontinued,chartevents,Access Lines - Peripheral,,Text,,
225231,20 Gauge Site Appear,20 Gauge Site Appear,chartevents,Access Lines - Peripheral,,Text,,
228016,22 G Infiltration Scale,22 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
228015,22 G Phlebitis Scale,22 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
224274,22 Gauge,22 Gauge,procedureevents,Access Lines - Peripheral,None,Processes,,
229739,22 Gauge Cap Change,22 Gauge Cap Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
229733,22 Gauge Dressing Change,22 Gauge Dressing Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
227369,22 Gauge Dressing Occlusive,22 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
225753,22 Gauge Insertion Date,22 Gauge Insertion Date,datetimeevents,Access Lines - Peripheral,,Date and time,,
226139,22 Gauge placed in outside facility,22 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
228101,22 Gauge placed in the field,22 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
224121,22 Gauge Reason Discontinued,22 Gauge Reason Discontinued,chartevents,Access Lines - Peripheral,,Text,,
224119,22 Gauge Site Appear,22 Gauge Site Appear,chartevents,Access Lines - Peripheral,,Text,,
229466,24 G Infiltration Scale,24 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
229467,24 G Phlebitis Scale,24 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
229468,24 Gauge,24 Gauge,procedureevents,Access Lines - Peripheral,None,Processes,,
229740,24 Gauge Cap Change,24 Gauge Cap Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
229734,24 Gauge Dressing Change,24 Gauge Dressing Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
229470,24 Gauge Dressing Occlusive,24 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
229471,24 Gauge Insertion Date,24 Gauge Insertion Date,datetimeevents,Access Lines - Peripheral,,Date and time,,
229472,24 Gauge placed in outside facility,24 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
229473,24 Gauge placed in the field,24 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
229474,24 Gauge Reason Discontinued,24 Gauge Reason Discontinued,chartevents,Access Lines - Peripheral,,Text,,
225205,RIC,RIC,procedureevents,Access Lines - Peripheral,None,Processes,,
229741,RIC Cap Change,RIC Cap Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
229735,RIC Dressing Change,RIC Dressing Change,datetimeevents,Access Lines - Peripheral,,Date and time,,
227364,RIC Dressing Occlusive,RIC Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
228018,RIC Infiltration Scale,RIC Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
225758,RIC Insertion Date,RIC Insertion Date,datetimeevents,Access Lines - Peripheral,,Date and time,,
228017,RIC Phlebitis Scale,RIC Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
226140,RIC placed in outside facility,RIC placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
225759,RIC Reason Discontinued,RIC Reason Discontinued,chartevents,Access Lines - Peripheral,,Text,,
225760,RIC Site Appear,RIC Site Appear,chartevents,Access Lines - Peripheral,,Text,,
225721,Acuity (A-Line),Acuity (A-Line),chartevents,Arterial Line Insertion,,Text,,
225575,Arterial Line ordered on POE,Arterial Line ordered on POE,chartevents,Arterial Line Insertion,,Checkbox,,
228026,Arterial Line ordered on POE,Arterial Line ordered on POE,chartevents,Arterial Line Insertion,,Text,,
226008,Arterial line sutured,Arterial line sutured,chartevents,Arterial Line Insertion,,Checkbox,,
228023,Arterial line sutured,Arterial line sutured,chartevents,Arterial Line Insertion,,Text,,
226523,Barrier precautions in place (A-Line),Barrier precautions in place (A-Line),chartevents,Arterial Line Insertion,,Text,,
228647,Barrier precautions in place (A-Line),Barrier precautions in place (A-Line),chartevents,Arterial Line Insertion,,Text,,
226524,Complications (A-Line),Complications (A-Line),chartevents,Arterial Line Insertion,,Text,,
230070,Documented in DC Summary (Aline),Documented in DC Summary (Aline),chartevents,Arterial Line Insertion,,Text,,
229783,Estimated Blood Loss (A-line),EBL (A-line),chartevents,Arterial Line Insertion,mL,Numeric,,
225717,Guidewire (A-Line),Guidewire (A-Line),chartevents,Arterial Line Insertion,,Text,,
225567,Hand cleansing prior to procedure (A-Line),Hand cleansing prior to procedure(A-Line),chartevents,Arterial Line Insertion,,Checkbox,,
228020,Hand cleansing prior to procedure (A-Line),Hand cleansing prior to procedure (A-Line),chartevents,Arterial Line Insertion,,Text,,
228028,I was present during the above procedure and agree with the chacklist (A-Line),I was present during the procedure (A-Line),chartevents,Arterial Line Insertion,,Checkbox,,
226525,Indications (A-Line),Indications (A-Line),chartevents,Arterial Line Insertion,,Text,,
225565,Insertion kit used (A-Line),Insertion kit used (A-Line),chartevents,Arterial Line Insertion,,Checkbox,,
228019,Insertion kit used (A-Line),Insertion kit used (A-Line),chartevents,Arterial Line Insertion,,Text,,
225552,Insertion site (A-Line),Insertion site (A-Line),chartevents,Arterial Line Insertion,,Text,,
225714,Location (A-Line),Location (A-Line),chartevents,Arterial Line Insertion,,Text,,
225571,Number of attempts required to place line (A-Line),Number of attempts required to place line (A-Line),chartevents,Arterial Line Insertion,,Text,,
225719,Number of operators (A-Line),Number of operators (A-Line),chartevents,Arterial Line Insertion,,Text,,
226526,Patient identified correctly (A-Line),Patient identified correctly (A-Line),chartevents,Arterial Line Insertion,,Text,,
225556,Replaced previous Arterial line over wire,Replaced previous Arterial line,chartevents,Arterial Line Insertion,,Checkbox,,
228022,Replaced previous Arterial line over wire,Replaced previous Arterial line over wire,chartevents,Arterial Line Insertion,,Text,,
225550,Side (A-Line),Side (A-Line),chartevents,Arterial Line Insertion,,Text,,
225568,Site cleaned with ChloraPrep(TM) (A-Line),Site cleaned with ChloraPrep(TM) (A-Line),chartevents,Arterial Line Insertion,,Checkbox,,
228021,Site cleaned with ChloraPrep(TM) (A-Line),Site cleaned with ChloraPrep(TM) (A-Line),chartevents,Arterial Line Insertion,,Text,,
226164,Sterile field maintained throughout procedure (A-Line),Sterile field maintained (A-Line),chartevents,Arterial Line Insertion,,Checkbox,,
228024,Sterile field maintained throughout procedure (A-Line),Sterile field maintained (A-Line),chartevents,Arterial Line Insertion,,Text,,
228027,The Attending /Supervisor is the Clinician Operator (Aline),The Attending/Supervisor (A-Line),chartevents,Arterial Line Insertion,,Checkbox,,
226527,Timeout performed by (A-Line),Timeout performed by (A-Line),chartevents,Arterial Line Insertion,,Text,,
225573,Transparent dressing applied and dated (A-Line),Transparent dressing applied (A-Line),chartevents,Arterial Line Insertion,,Checkbox,,
228025,Transparent dressing applied and dated (A-Line)_New,Transparent dressing applied and dated (A-Line)New,chartevents,Arterial Line Insertion,,Text,,
225718,Ultrasound (A-Line),Ultrasound (A-Line),chartevents,Arterial Line Insertion,,Text,,
229710,Ultrasound (Aline),Ultrasound (Aline),chartevents,Arterial Line Insertion,,Text,,
229712,Ultrasound Images interpreted (Aline),Ultrasound Images interpreted (Aline),chartevents,Arterial Line Insertion,,Text,,
229589,Ultrasound Images Interpreted and Stored (A-Line),Ultrasound Images Interpreted and Stored (A-Line),chartevents,Arterial Line Insertion,,Text,,
229713,Ultrasound Images printed (Aline),Ultrasound Images printed (Aline),chartevents,Arterial Line Insertion,,Text,,
229714,Ultrasound Images probe covered (Aline),Ultrasound Images probe covered (Aline),chartevents,Arterial Line Insertion,,Text,,
229715,Ultrasound Images stored (Aline),Ultrasound Images stored (Aline),chartevents,Arterial Line Insertion,,Text,,
229716,Ultrasound Images uploaded (Aline),Ultrasound Images uploaded (Aline),chartevents,Arterial Line Insertion,,Text,,
229717,Ultrasound Images used for preproc assess (Aline),Ultrasound Images used for preproc assess (Aline),chartevents,Arterial Line Insertion,,Text,,
226528,Verification of (A-Line),Verification of (A-Line),chartevents,Arterial Line Insertion,,Text,,
229250,Cannula sites visually inspected (LVAD),Cannula sites visually inspected (LVAD),chartevents,Centrimag,,Text,,
229251,Cannula sites visually inspected (RVAD),Cannula sites visually inspected (RVAD),chartevents,Centrimag,,Text,,
229252,Emergency Equipment at bedside (LVAD),Emergency Equipment at bedside (LVAD),chartevents,Centrimag,,Text,,
